Original Location,Encoded Location
Badagry,593750.0
Agege,1264565.2173913044
Ogba,1445985.6630824374
Sangotedo,1684905.6603773586
Lekki,4370569.584964921
Ikorodu,586619.0476190476
Ajah,1876966.950774048
Yaba,1833920.4534090909
Amuwo Odofin,1544469.9322799095
Ojota,1248387.0967741937
Lekki,4370569.584964921
Isheri North,1532608.6956521738
Ojodu,1868523.2336091665
Ilupeju,2728930.817610063
Isheri North,1532608.6956521738
Ketu,1608300.395256917
Ipaja,677874.3315508021
Apapa,3307594.936708861
Shomolu,1085155.03875969
Isolo,1277042.042042042
Gbagada,2045817.344589409
Gbagada,2045817.344589409
Ikorodu,586619.0476190476
Ilupeju,2728930.817610063
Ojodu,1868523.2336091665
Ogba,1445985.6630824374
Surulere,1939867.4087363493
Yaba,1833920.4534090909
Shomolu,1085155.03875969
Ayobo,1625000.0
Akowonjo,1055446.1538461538
Ikotun-Igando,730782.65625
other,2002527.4725274723
Ejigbo,552941.1764705882
Maryland,3239420.935412027
Ikorodu,586619.0476190476
Isolo,1277042.042042042
Shomolu,1085155.03875969
Ayobo,1625000.0
Alimosho,1262521.895652174
Ikoyi,11615411.672093904
Ojodu,1868523.2336091665
Egbeda,816434.7826086957
Ogba,1445985.6630824374
Ogudu,2932934.1317365267
Ipaja,677874.3315508021
Gbagada,2045817.344589409
Ipaja,677874.3315508021
Abule Egba,1095170.4545454546
Ojota,1248387.0967741937
Apapa,3307594.936708861
Alimosho,1262521.895652174
Ojodu,1868523.2336091665
Magodo,2831501.340482574
Ikotun-Igando,730782.65625
Badagry,593750.0
Alimosho,1262521.895652174
other,2002527.4725274723
Ejigbo,552941.1764705882
Akowonjo,1055446.1538461538
Ikorodu,586619.0476190476
Ikoyi,11615411.672093904
Ogudu,2932934.1317365267
Oshodi,1310389.6103896103
Ilupeju,2728930.817610063
Shomolu,1085155.03875969
Sangotedo,1684905.6603773586
Ikorodu,586619.0476190476
Ipaja,677874.3315508021
Ilupeju,2728930.817610063
Ogudu,2932934.1317365267
Magodo,2831501.340482574
Ilupeju,2728930.817610063
Gbagada,2045817.344589409
Isolo,1277042.042042042
Isolo,1277042.042042042
Oshodi,1310389.6103896103
Isolo,1277042.042042042
Akowonjo,1055446.1538461538
Yaba,1833920.4534090909
Maryland,3239420.935412027
Abule Egba,1095170.4545454546
Akowonjo,1055446.1538461538
Ikotun-Igando,730782.65625
Gbagada,2045817.344589409
Ago Palace-Okota,1031084.3373493976
Idimu,863888.8333333334
Ojo,539705.8823529412
Apapa,3307594.936708861
Lekki,4370569.584964921
Maryland,3239420.935412027
Egbeda,816434.7826086957
Shomolu,1085155.03875969
Alimosho,1262521.895652174
Ojo,539705.8823529412
Alimosho,1262521.895652174
Agege,1264565.2173913044
Lekki,4370569.584964921
Ketu,1608300.395256917
Sangotedo,1684905.6603773586
Ikeja,4422162.909701037
Ipaja,677874.3315508021
Ogudu,2932934.1317365267
Gbagada,2045817.344589409
Ogudu,2932934.1317365267
Surulere,1939867.4087363493
Alimosho,1262521.895652174
Ketu,1608300.395256917
Ojota,1248387.0967741937
Gbagada,2045817.344589409
Egbeda,816434.7826086957
Ketu,1608300.395256917
Isheri North,1532608.6956521738
Magodo,2831501.340482574
Ilupeju,2728930.817610063
Ayobo,1625000.0
Ejigbo,552941.1764705882
Ago Palace-Okota,1031084.3373493976
Ikoyi,11615411.672093904
Ketu,1608300.395256917
Ejigbo,552941.1764705882
Ikorodu,586619.0476190476
Abule Egba,1095170.4545454546
Akowonjo,1055446.1538461538
Egbeda,816434.7826086957
Oshodi,1310389.6103896103
Gbagada,2045817.344589409
Ojo,539705.8823529412
Ogba,1445985.6630824374
Lekki,4370569.584964921
other,2002527.4725274723
Ojodu,1868523.2336091665
Isolo,1277042.042042042
other,2002527.4725274723
Alimosho,1262521.895652174
Badagry,593750.0
Ikoyi,11615411.672093904
Maryland,3239420.935412027
Idimu,863888.8333333334
Maryland,3239420.935412027
Ogudu,2932934.1317365267
Shomolu,1085155.03875969
Ojodu,1868523.2336091665
Ikotun-Igando,730782.65625
Ajah,1876966.950774048
Amuwo Odofin,1544469.9322799095
Ikorodu,586619.0476190476
Maryland,3239420.935412027
Ojota,1248387.0967741937
Lekki,4370569.584964921
Ilupeju,2728930.817610063
Ojo,539705.8823529412
Gbagada,2045817.344589409
Ojota,1248387.0967741937
Ogba,1445985.6630824374
Idimu,863888.8333333334
Ketu,1608300.395256917
Maryland,3239420.935412027
Amuwo Odofin,1544469.9322799095
Lagos Island,6064444.444444444
Ketu,1608300.395256917
other,2002527.4725274723
Victoria Island,7739153.33256705
Victoria Island,7739153.33256705
Abule Egba,1095170.4545454546
Abule Egba,1095170.4545454546
Isolo,1277042.042042042
Agege,1264565.2173913044
other,2002527.4725274723
Magodo,2831501.340482574
Ketu,1608300.395256917
Ikorodu,586619.0476190476
Victoria Island,7739153.33256705
Ketu,1608300.395256917
Magodo,2831501.340482574
Gbagada,2045817.344589409
Akowonjo,1055446.1538461538
Ikotun-Igando,730782.65625
Akowonjo,1055446.1538461538
Ogba,1445985.6630824374
Ojota,1248387.0967741937
Maryland,3239420.935412027
Ago Palace-Okota,1031084.3373493976
Apapa,3307594.936708861
Ojo,539705.8823529412
Akowonjo,1055446.1538461538
Victoria Island,7739153.33256705
Ikotun-Igando,730782.65625
Egbeda,816434.7826086957
Magodo,2831501.340482574
Magodo,2831501.340482574
Amuwo Odofin,1544469.9322799095
Agege,1264565.2173913044
Maryland,3239420.935412027
Idimu,863888.8333333334
Lekki,4370569.584964921
Ojodu,1868523.2336091665
Lagos Island,6064444.444444444
Maryland,3239420.935412027
Maryland,3239420.935412027
Ejigbo,552941.1764705882
Alimosho,1262521.895652174
Akowonjo,1055446.1538461538
Ayobo,1625000.0
Lekki,4370569.584964921
Ajah,1876966.950774048
Alimosho,1262521.895652174
Shomolu,1085155.03875969
Surulere,1939867.4087363493
Ojodu,1868523.2336091665
Ikotun-Igando,730782.65625
Ikeja,4422162.909701037
Abule Egba,1095170.4545454546
Ojo,539705.8823529412
Ogudu,2932934.1317365267
Surulere,1939867.4087363493
Yaba,1833920.4534090909
Egbeda,816434.7826086957
Amuwo Odofin,1544469.9322799095
Ikoyi,11615411.672093904
Ojota,1248387.0967741937
Lekki,4370569.584964921
Victoria Island,7739153.33256705
Egbeda,816434.7826086957
other,2002527.4725274723
Idimu,863888.8333333334
Shomolu,1085155.03875969
Ikeja,4422162.909701037
Ojodu,1868523.2336091665
other,2002527.4725274723
Ago Palace-Okota,1031084.3373493976
Amuwo Odofin,1544469.9322799095
Ojo,539705.8823529412
Ikorodu,586619.0476190476
other,2002527.4725274723
Lekki,4370569.584964921
Ilupeju,2728930.817610063
Magodo,2831501.340482574
Ogba,1445985.6630824374
Magodo,2831501.340482574
Egbeda,816434.7826086957
Egbeda,816434.7826086957
Lekki,4370569.584964921
Lagos Island,6064444.444444444
Isheri North,1532608.6956521738
Badagry,593750.0
Apapa,3307594.936708861
Ilupeju,2728930.817610063
Ajah,1876966.950774048
Lagos Island,6064444.444444444
Ojodu,1868523.2336091665
Ikotun-Igando,730782.65625
Akowonjo,1055446.1538461538
Apapa,3307594.936708861
Amuwo Odofin,1544469.9322799095
Amuwo Odofin,1544469.9322799095
Isolo,1277042.042042042
other,2002527.4725274723
Ikeja,4422162.909701037
Gbagada,2045817.344589409
Ogba,1445985.6630824374
Egbeda,816434.7826086957
Magodo,2831501.340482574
Alimosho,1262521.895652174
Ketu,1608300.395256917
Ikeja,4422162.909701037
Gbagada,2045817.344589409
Ago Palace-Okota,1031084.3373493976
Ipaja,677874.3315508021
Ikorodu,586619.0476190476
Lagos Island,6064444.444444444
Maryland,3239420.935412027
Lekki,4370569.584964921
Ikoyi,11615411.672093904
Ayobo,1625000.0
Ajah,1876966.950774048
Gbagada,2045817.344589409
Idimu,863888.8333333334
Ojota,1248387.0967741937
Idimu,863888.8333333334
Ago Palace-Okota,1031084.3373493976
Ikeja,4422162.909701037
Abule Egba,1095170.4545454546
Victoria Island,7739153.33256705
Victoria Island,7739153.33256705
Idimu,863888.8333333334
Sangotedo,1684905.6603773586
Surulere,1939867.4087363493
Surulere,1939867.4087363493
Lekki,4370569.584964921
Akowonjo,1055446.1538461538
Ikotun-Igando,730782.65625
Ikoyi,11615411.672093904
Amuwo Odofin,1544469.9322799095
Ilupeju,2728930.817610063
Gbagada,2045817.344589409
Idimu,863888.8333333334
Ago Palace-Okota,1031084.3373493976
Ipaja,677874.3315508021
Surulere,1939867.4087363493
Ipaja,677874.3315508021
Ojodu,1868523.2336091665
Maryland,3239420.935412027
Badagry,593750.0
Amuwo Odofin,1544469.9322799095
Ojodu,1868523.2336091665
Badagry,593750.0
Egbeda,816434.7826086957
Ojo,539705.8823529412
Ago Palace-Okota,1031084.3373493976
Ogudu,2932934.1317365267
Ikotun-Igando,730782.65625
Ojodu,1868523.2336091665
Badagry,593750.0
Victoria Island,7739153.33256705
other,2002527.4725274723
other,2002527.4725274723
Ojodu,1868523.2336091665
Amuwo Odofin,1544469.9322799095
Agege,1264565.2173913044
Apapa,3307594.936708861
Yaba,1833920.4534090909
Ketu,1608300.395256917
Gbagada,2045817.344589409
Sangotedo,1684905.6603773586
Ejigbo,552941.1764705882
Amuwo Odofin,1544469.9322799095
Akowonjo,1055446.1538461538
Ketu,1608300.395256917
Ago Palace-Okota,1031084.3373493976
Ogba,1445985.6630824374
Ogudu,2932934.1317365267
Ayobo,1625000.0
Ojo,539705.8823529412
Ago Palace-Okota,1031084.3373493976
Isheri North,1532608.6956521738
Ikoyi,11615411.672093904
Lagos Island,6064444.444444444
Ayobo,1625000.0
Gbagada,2045817.344589409
Oshodi,1310389.6103896103
Ilupeju,2728930.817610063
Apapa,3307594.936708861
Amuwo Odofin,1544469.9322799095
Egbeda,816434.7826086957
Ago Palace-Okota,1031084.3373493976
Yaba,1833920.4534090909
Maryland,3239420.935412027
Agege,1264565.2173913044
Apapa,3307594.936708861
Ojo,539705.8823529412
Agege,1264565.2173913044
other,2002527.4725274723
Amuwo Odofin,1544469.9322799095
Apapa,3307594.936708861
Abule Egba,1095170.4545454546
Ojota,1248387.0967741937
Maryland,3239420.935412027
Victoria Island,7739153.33256705
other,2002527.4725274723
Ajah,1876966.950774048
Ejigbo,552941.1764705882
Ojodu,1868523.2336091665
Ikoyi,11615411.672093904
Ago Palace-Okota,1031084.3373493976
Akowonjo,1055446.1538461538
Ejigbo,552941.1764705882
Ketu,1608300.395256917
Ikoyi,11615411.672093904
Ikoyi,11615411.672093904
Yaba,1833920.4534090909
Ago Palace-Okota,1031084.3373493976
Oshodi,1310389.6103896103
Ilupeju,2728930.817610063
Lekki,4370569.584964921
Sangotedo,1684905.6603773586
Ikeja,4422162.909701037
Ilupeju,2728930.817610063
Ojota,1248387.0967741937
Amuwo Odofin,1544469.9322799095
Agege,1264565.2173913044
Magodo,2831501.340482574
Lagos Island,6064444.444444444
Shomolu,1085155.03875969
other,2002527.4725274723
Lekki,4370569.584964921
Lekki,4370569.584964921
Ikoyi,11615411.672093904
Ojo,539705.8823529412
Ilupeju,2728930.817610063
Magodo,2831501.340482574
Ketu,1608300.395256917
Ago Palace-Okota,1031084.3373493976
Ojota,1248387.0967741937
Surulere,1939867.4087363493
Ogudu,2932934.1317365267
Ejigbo,552941.1764705882
Gbagada,2045817.344589409
Ayobo,1625000.0
Ikorodu,586619.0476190476
Ojodu,1868523.2336091665
Idimu,863888.8333333334
Ikoyi,11615411.672093904
Isolo,1277042.042042042
Ogudu,2932934.1317365267
Apapa,3307594.936708861
Ejigbo,552941.1764705882
Ipaja,677874.3315508021
Ogudu,2932934.1317365267
Ejigbo,552941.1764705882
Isolo,1277042.042042042
Agege,1264565.2173913044
Shomolu,1085155.03875969
Ikorodu,586619.0476190476
Maryland,3239420.935412027
Yaba,1833920.4534090909
Sangotedo,1684905.6603773586
Victoria Island,7739153.33256705
Ipaja,677874.3315508021
Lekki,4370569.584964921
Ojo,539705.8823529412
Surulere,1939867.4087363493
Ejigbo,552941.1764705882
Amuwo Odofin,1544469.9322799095
Amuwo Odofin,1544469.9322799095
Apapa,3307594.936708861
Abule Egba,1095170.4545454546
Apapa,3307594.936708861
other,2002527.4725274723
Amuwo Odofin,1544469.9322799095
Ejigbo,552941.1764705882
Surulere,1939867.4087363493
Gbagada,2045817.344589409
Isheri North,1532608.6956521738
Gbagada,2045817.344589409
Ikorodu,586619.0476190476
Ago Palace-Okota,1031084.3373493976
Ogba,1445985.6630824374
Isolo,1277042.042042042
Lekki,4370569.584964921
Ajah,1876966.950774048
Alimosho,1262521.895652174
Ojo,539705.8823529412
Oshodi,1310389.6103896103
Shomolu,1085155.03875969
Alimosho,1262521.895652174
Magodo,2831501.340482574
Oshodi,1310389.6103896103
Ikorodu,586619.0476190476
Ikoyi,11615411.672093904
Magodo,2831501.340482574
Ikeja,4422162.909701037
Ogba,1445985.6630824374
Ikotun-Igando,730782.65625
Ikotun-Igando,730782.65625
Gbagada,2045817.344589409
Yaba,1833920.4534090909
Ajah,1876966.950774048
Yaba,1833920.4534090909
Idimu,863888.8333333334
Ajah,1876966.950774048
Lagos Island,6064444.444444444
Alimosho,1262521.895652174
Ago Palace-Okota,1031084.3373493976
Agege,1264565.2173913044
Ipaja,677874.3315508021
Lagos Island,6064444.444444444
Ipaja,677874.3315508021
Amuwo Odofin,1544469.9322799095
Ikoyi,11615411.672093904
Ikorodu,586619.0476190476
Ketu,1608300.395256917
Ojo,539705.8823529412
Yaba,1833920.4534090909
Shomolu,1085155.03875969
Ogba,1445985.6630824374
Idimu,863888.8333333334
Ago Palace-Okota,1031084.3373493976
Shomolu,1085155.03875969
Magodo,2831501.340482574
Ipaja,677874.3315508021
Agege,1264565.2173913044
Oshodi,1310389.6103896103
Egbeda,816434.7826086957
Oshodi,1310389.6103896103
Ojota,1248387.0967741937
Yaba,1833920.4534090909
Badagry,593750.0
Ikotun-Igando,730782.65625
Idimu,863888.8333333334
Ejigbo,552941.1764705882
Oshodi,1310389.6103896103
Ilupeju,2728930.817610063
Lagos Island,6064444.444444444
Shomolu,1085155.03875969
Ejigbo,552941.1764705882
Ajah,1876966.950774048
Victoria Island,7739153.33256705
Idimu,863888.8333333334
Gbagada,2045817.344589409
Abule Egba,1095170.4545454546
Amuwo Odofin,1544469.9322799095
Ejigbo,552941.1764705882
Ikoyi,11615411.672093904
Sangotedo,1684905.6603773586
Akowonjo,1055446.1538461538
Apapa,3307594.936708861
Ajah,1876966.950774048
other,2002527.4725274723
Isolo,1277042.042042042
Isolo,1277042.042042042
Sangotedo,1684905.6603773586
Maryland,3239420.935412027
Ikeja,4422162.909701037
Abule Egba,1095170.4545454546
Sangotedo,1684905.6603773586
Isolo,1277042.042042042
Ikotun-Igando,730782.65625
Ikeja,4422162.909701037
Egbeda,816434.7826086957
Ojo,539705.8823529412
Ogudu,2932934.1317365267
Ojodu,1868523.2336091665
Ago Palace-Okota,1031084.3373493976
Ikotun-Igando,730782.65625
Isolo,1277042.042042042
Ajah,1876966.950774048
Apapa,3307594.936708861
Ogba,1445985.6630824374
Lekki,4370569.584964921
Idimu,863888.8333333334
Ikotun-Igando,730782.65625
Surulere,1939867.4087363493
Maryland,3239420.935412027
Sangotedo,1684905.6603773586
Abule Egba,1095170.4545454546
Ejigbo,552941.1764705882
Ketu,1608300.395256917
Ago Palace-Okota,1031084.3373493976
Lekki,4370569.584964921
Magodo,2831501.340482574
Gbagada,2045817.344589409
Shomolu,1085155.03875969
Ikeja,4422162.909701037
Ipaja,677874.3315508021
Akowonjo,1055446.1538461538
Maryland,3239420.935412027
Ejigbo,552941.1764705882
Oshodi,1310389.6103896103
Ajah,1876966.950774048
Ojodu,1868523.2336091665
Magodo,2831501.340482574
Alimosho,1262521.895652174
Lekki,4370569.584964921
Ikorodu,586619.0476190476
Ketu,1608300.395256917
Gbagada,2045817.344589409
Abule Egba,1095170.4545454546
Ayobo,1625000.0
Ojota,1248387.0967741937
Ikorodu,586619.0476190476
Ayobo,1625000.0
Yaba,1833920.4534090909
Ikorodu,586619.0476190476
Egbeda,816434.7826086957
Ogba,1445985.6630824374
Maryland,3239420.935412027
Agege,1264565.2173913044
Ayobo,1625000.0
Amuwo Odofin,1544469.9322799095
Ikoyi,11615411.672093904
Ogudu,2932934.1317365267
Badagry,593750.0
Agege,1264565.2173913044
Amuwo Odofin,1544469.9322799095
Badagry,593750.0
Ojo,539705.8823529412
Ajah,1876966.950774048
Maryland,3239420.935412027
Magodo,2831501.340482574
Ikotun-Igando,730782.65625
Sangotedo,1684905.6603773586
Maryland,3239420.935412027
Abule Egba,1095170.4545454546
Ilupeju,2728930.817610063
Shomolu,1085155.03875969
Ojota,1248387.0967741937
Ikeja,4422162.909701037
Ojo,539705.8823529412
Oshodi,1310389.6103896103
Akowonjo,1055446.1538461538
Ikotun-Igando,730782.65625
Idimu,863888.8333333334
Ejigbo,552941.1764705882
Alimosho,1262521.895652174
Agege,1264565.2173913044
Magodo,2831501.340482574
Maryland,3239420.935412027
Ikorodu,586619.0476190476
Ikoyi,11615411.672093904
